,NL1,NL1t,NL2,LEVEN_Norm,SBERT_Norm,BLEU_Norm,DEP_Norm,Consistent,RE1t,Relation,RE1,REG_Norm,DFA_Norm,HYB_Norm,LEVEN,DEP,SBERT,BLEU,REG,DFA,HYB,Translation_Label_Consistent
0,lines having words starting with 'fo'.,A line of words starting with'fo'.,以'fo'开头的单词的行。,0.730280987,0.889001027,0.627133409,0.416666667,TRUE,. * \ b <M0> [ <LET> ] * \ b . *,equivalence,. * ( ( \ b [ <LET> ] [ <LET> ] * \ b ) & ( <M0> . * ) ) . *,0.421052632,0.5,0.210526316,0.736842105,5,0.976086937,0.676369868,0.421052632,0,0.210526316,correct
4,lines using 2 words or more,Use lines of 2 or more words,使用2个或更多单词的行,0.267905536,0.855146568,0.563707177,0.25,TRUE,"( . * \ b [ <LET> ] + \ b . * ) { 2 , }",equivalence,"( . * \ b [ <LET> ] + \ b . * ) { 2 , }",1,1,1,0.392857143,3,0.968793503,0.629928786,1,1,1,correct
7,lines that have a word ending with the letters 'ked'.,"A line of words ending in the word ""ked"".",以单词“ ked”结尾的单词的行。,0.424605001,0.762318476,0.221180787,0.416666667,TRUE,. * \ b [ <LET> ] * <M0> \ b . *,equivalence,. * \ b [ <LET> ] * <M0> \ b . *,1,1,1,0.509433962,5,0.948795084,0.379128826,1,1,1,bug
9,lines using at least 4 characters,Use at least 4 character lines,至少使用4个字符的行,0.473022912,0.884658704,0.7152789,0.166666667,TRUE,. * [ <CAP> ] . *,intersection,. * . { 4 } . *,0.666666667,0.934936,0.768269333,0.545454545,2,0.975151449,0.740910547,0.666666667,0.869872,0.768269333,correct
10,lines using words that end in 'y' or 'i'.,"Use lines that end with ""y"" or ""i"".",使用以“ y”或“ i”结尾的单词的行。,0.461101196,0.784822533,0.298259322,0.083333333,TRUE,. * ( <M0> | <M1> ) . *,equivalence,. * \ b [ <LET> ] * ( <M0> | <M1> ) \ b . *,0.692307692,0.5142538,0.360407646,0.536585366,1,0.953643245,0.43556621,0.692307692,0.0285076,0.360407646,correct
11,lines that contain a word starting with a vowel.,Lines containing words that begin with a vowel.,包含以元音开头的单词的行。,0.579945799,0.955011981,0.696196823,0.083333333,TRUE,. * \ b [ <VOW> ] * [ <VOW> ] \ b . *,equivalence,. * \ b [ <VOW> ] [ <LET> ] * \ b . * ,0.777777778,0.88483,0.773718889,0.625,1,0.990308007,0.726938531,0.777777778,0.76966,0.773718889,correct
12,lines that have a word containing 'a' or 'b',"Lines containing the word ""a"" or ""b""",包含“ a”或“ b”的单词的行,0.228627741,0.828640488,0.416231148,0.333333333,TRUE,. * ( <M0> | <M1> ) . *,equivalence,. * \ b ( [ <LET> ] + & . * ( <M0> | <M1> ) . * ) \ b . *,0.45,0.5142538,0.2392538,0.363636364,4,0.963083166,0.521945917,0.45,0.0285076,0.2392538,bug
13,lines that use words with 'ce'.,"Use lines with the word ""ce"".",使用带有“ ce”的单词的行。,0.303523035,0.767280913,0.46133694,0.333333333,TRUE,. * \ b <M0> \ b . *,equivalence,. * ( ( \ b [ <LET> ] + \ b ) & ( . * <M0> . * ) ) . *,0.3,1,0.65,0.419354839,4,0.949864166,0.554972659,0.3,1,0.65,correct
14,lines which start with a number.,Lines that start with a number.,以数字开头的行。,0.87398374,0.984824131,0.739974523,0,TRUE,[ <NUM> ] . *,equivalence,[ <NUM> ] . * ,1,1,1,0.84375,0,0.996730587,0.758992836,1,1,1,correct
15,lines containing the number 11 and the word 'eleven'.,"The line containing the number 11 and the word ""eleven"".",包含数字11和单词“十一”的行。,0.91598916,0.961731587,0.821265724,0.083333333,TRUE,( . * 1 1 . * ) & ( . * <M0> . * ),equivalence,( . * 1 1 . * ) & ( . * <M0> . * ),1,1,1,0.875,1,0.991755645,0.818514761,1,1,1,correct
16,lines containing the word 'art',"Lines that contain the word ""art""",包含“艺术”一词的行,0.635953026,0.915986875,0.541457924,0.416666667,TRUE,. * \ b <M0> \ b . *,equivalence,. * \ b <M0> \ b . *,1,1,1,0.666666667,5,0.981900633,0.613637744,1,1,1,correct
19,lines using a word that ends in 'spoon',"Words in the line ending in ""spoon""",行以“ spoon”结尾的单词,0.325759155,0.799996057,0.309469717,0.416666667,TRUE,. * \ b [ <LET> ] * <M0> \ b . *,equivalence,. * ( ( \ b [ <LET> ] + \ b ) & ( . * <M0> ) ) . *,0.444444444,1,0.722222222,0.435897436,5,0.956912153,0.443774531,0.444444444,1,0.722222222,bug
21,lines that each begin with a vowel,Every line starting with a vowel,每行以元音开头的行,0.372389606,0.246333785,0.367012522,0.416666667,TRUE,[ <VOW> ] . *,equivalence,[ <VOW> ] . * ,1,1,1,0.470588235,5,0.837633927,0.485907732,1,1,1,correct
22,lines that end with 'bar' and include the phrase 'San Jose'.,"Lines ending in ""bar"" include the phrase ""San Jose"".",以“ bar”结尾的行，包括短语“ San Jose”。,0.658355917,0.834073167,0.468874106,0.333333333,TRUE,<M0> . * <M1>,no intersection,( . * <M0> ) & ( . * <M1> . * ),0.307692308,0.5,0.153846154,0.683333333,4,0.964253555,0.560491419,0.307692308,0,0.153846154,correct
23,lines that does not contain any vowels.,Lines that do not contain any vowels.,不包含任何元音的行。,0.980612883,0.99237106,0.903972388,0,TRUE,~ ( . * [ <VOW> ] . * ),equivalence,~ ( . * [ <VOW> ] . * ) ,1,1,1,0.923076923,0,0.998356459,0.879073096,1,1,1,correct
24,lines that contain a digit.,Lines containing numbers.,包含数字的行。,0.287463615,0.357650402,0.254529782,0.333333333,TRUE,. * [ <NUM> ] . *,equivalence,. * [ <NUM> ] . * ,1,1,1,0.407407407,4,0.861615422,0.403547168,1,1,1,bug
25,lines beginning with 'Therefore',"Lines that start with ""therefore""",以“因此”开头的行,0.513755441,0.923993191,0.315729349,0.416666667,TRUE,<M0> . *,equivalence,<M0> . *,1,1,1,0.575757576,5,0.983625474,0.448357873,1,1,1,correct
26,lines having words ending with 'ne'.,Lines of words ending in'ne'.,以'ne'结尾的单词的行。,0.673291177,0.927228698,0.488564689,0.333333333,TRUE,. * \ b [ <LET> ] * <M0> \ b . *,equivalence,. * \ b [ <LET> ] * <M0> \ b . *,1,1,1,0.694444444,4,0.984322515,0.574908987,1,1,1,correct
27,lines that contain 'Freddie Mercury' and contain 'AIDS'.,"Lines containing ""Freddie Mercury"" and ""AIDS"".",包含“ Freddie Mercury”和“ AIDS”的行。,0.579945799,0.850592772,0.44924127,0.333333333,TRUE,( . * <M0> . * ) & ( . * <M1> . * ),equivalence,( . * <M0> . * ) & ( . * <M1> . * ),1,1,1,0.625,4,0.967812456,0.546116135,1,1,1,correct
28,lines using words that begin with the letter 'G'.,"Words that start with the letter ""G"" in the line.",行以字母“ G”开头的单词。,0.206183286,0.927026875,0.52599129,0.583333333,TRUE,<M0> . *,superset,. * \ b <M0> [ <LET> ] * \ b . *,0.333333333,0.5,0.166666667,0.346938776,7,0.984279036,0.602312978,0.333333333,0,0.166666667,correct
29,lines using words that begin with 'z'.,"Use lines that start with ""z"".",使用以“ z”开头的单词的行。,0.411924119,0.773056913,0.25399475,0.083333333,TRUE,( <M0> . * ) . *,superset,. * \ b <M0> [ <LET> ] * \ b . *,0.444444444,0.5,0.222222222,0.5,1,0.951108519,0.403155414,0.444444444,0,0.222222222,bug
