,NL1,NL1t,RE1t,NL2,RE1,LEVEN_Norm,SBERT_Norm,BLEU_Norm,DEP_Norm,Consistence,Relation,REG_Norm,DFA_Norm,HYB_Norm,LEVEN,DEP,SBERT,BLEU,REG,DFA,HYB,Translation_Label_Consistent
0,rows not containing a number at least once,The line does not contain a number at least once,( . * ~ ( [ <NUM> ] ) . * ) +,行不包含一个数字至少一次,( . * ~ ( [ <NUM> ] ) . * ) +,0.692681347,0.883565215,0.795947959,0.285714286,TRUE,equivalence,1,1,1,0.708333333,6,0.957593579,0.727819372,1,1,1,correct
1,rows containing ending with an upper case letter,A line that contains the end of a capital letter,. * ( . * ) ( [ <CAP> ] ) . *,包含大写字母结尾的行,. * ( . * ) ( [ <CAP> ] ) . *,0.054404145,0.523388659,0.228928065,0.476190476,TRUE,equivalence,1,1,1,0.333333333,10,0.850194384,0.401174282,1,1,1,correct
2,"lines with a number , 3 or more times","row with numbers, 3 or more times","( [ <NUM> ] ) { 3 , }",行与数字，3次或更多次,"( [ <NUM> ] ) { 3 , }",0.821103487,0.860022952,0.769159364,0.047619048,TRUE,no intersection,1,1,1,0.783783784,1,0.950573632,0.712387175,1,1,1,correct
3,"lines not having a lower-case letter , not a vowel , and not a number","Lines have no lowercase letters, no phonetics, not a number",( [ <VOW> ] ) & ( ~ ( [ <NUM> ] ) ),行没有小写字母，没有元音，而不是一个数字,~ ( ( [ <LOW> ] ) & ( [ <VOW> ] ) & ( [ <NUM> ] ) ),0.59709394,0.859109353,0.456308921,0.428571429,TRUE,superset,0.479591837,0,0.216589862,0.652173913,9,0.950301211,0.53216235,0.571428571,0,0.285714286,bug
4,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","Rows are arranged <M0> with strings before, not metans, 2 or more times","~ ( ( [ <NUM> ] ) + { 2 , } )",行排列与字符串<M0> 之前，不是元音，2次或更多次,"( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",0.347645107,0.357049273,0.552332318,0.857142857,TRUE,error re!,0.165178571,0,0.074596774,0.505617978,18,0.800594498,0.587478876,0.3125,0,0.15625,bug
5,lines with the string <M0> then a character,"line with the <M0> character, and then a character",. * <M0> . . *,行与字符<M0> ，然后一个字符,<M0> . * . . *,0.542331606,0.901104779,0.645225805,0.19047619,TRUE,no intersection,0.595238095,0.5039,0.545149462,0.62,4,0.962823611,0.640992346,0.666666667,0.5039,0.585283333,correct
6,"rows with words that contain a capital letter , zero or more times","A line that contains capital letters, zero or more times", ( . * [ <CAP> ] . * ) *,包含大写字母的行，零或更多次,\ b ( . * [ <CAP> ] . * ) * \ b,0.776495525,0.90916149,0.730091482,0.285714286,TRUE,subset,0.757142857,0.000128699,0.342006061,0.757575758,6,0.965226,0.689881207,0.8,0.000128699,0.400064349,bug
7,"lines using a word that has a character , zero or greater times","The line uses a word that has a character, zero or greater time",. * \ b ( . ) * \ b . *,行使用一个词，有一个字符，零或更大的时间,. * \ b ( . ) * \ b . *,0.918948927,0.913063861,1,0.238095238,TRUE,superset,1,1,1,0.841269841,5,0.966389628,0.84536833,1,1,1,correct
8,"lines arranged with words that have the string <M0> or either the string <M1> , the string <M2> , or the string <M3>","A line <M0> arranged with <M1> a string or string, <M2> string, or string <M3>",( ( . ) | ( <M1> ) ) | ( <M1> ),用字符串<M0> 或字符串<M1> 、字符串或字符串<M2> 排列的行<M3>,\ b ( <M0> ) | ( ( <M1> ) | ( <M2> ) | ( <M3> ) ) \ b,0.323409862,0.872438406,0.477588698,0.476190476,TRUE,intersection,0.42481203,0.0149253,0.200035436,0.49137931,10,0.954275733,0.544421064,0.526315789,0.0149253,0.270620545,bug
9,"lines ending with the string <M0> followed by a character , up to 3 times","The line ends with a character, <M0> followed by a character, up to 3 times","( .* ( . ) [ <M0> ] . ) { , 3 }",行以字符结尾，<M0> 然后是字符，最多3次,"( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.735233161,0.930713866,0.775794463,0.19047619,TRUE,intersection,0.352380952,2.91E-05,0.159155718,0.733333333,4,0.971652592,0.716209479,0.466666667,2.91E-05,0.23334786,bug
10,"strings ending with the string <M0> then a character , zero or more times","The string ends with a <M0> character, followed by a character, zero or more times",( ( . * ) ( <M0> . ) ) *,字符串以字符结尾，<M0> 然后字符，零或更多次,( ( . * ) ( <M0> . * . . * ) ) *,0.462624795,0.929685198,0.606218331,0.428571429,TRUE,intersection,0.676190476,0.66486,0.669976989,0.573170732,9,0.971345859,0.618521176,0.733333333,0.66486,0.699096667,correct
