,NL1,NL1t,RE1,RE1t,Translation_Label_Consistent,NL2,Relation,LEVEN_Norm,BLEU_Norm,SBERT_Norm,DEP_Norm,REG_Norm,DFA_Norm,HYB_Norm,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Translation_Label_Consistent.1,Unnamed: 18,Comment
0,rows not containing a number at least once,Lines that do not contain numbers at least once,( . * ~ ( [ <NUM> ] ) . * ) +,\ b ~ ( ( [ <NUM> ] ) + + ) \ b,bug,少なくとも1回は数値を含まない行,error re!,0.5358373945085000,0.6109987917539310,0.753883076788249,0.3333333333333330,0.36363636363636400,0.0,0.18181818181818200,1.0,1,bug,TRUE,
1,rows containing ending with an upper case letter,Lines ending in uppercase,. * ( . * ) ( [ <CAP> ] ) . *,( . * ) ( [ <CAP> ] ),bug,大文字で終わる行,superset,0.33193668528864000,0.21542381844197200,0.6565594675553380,0.4,0.6363636363636360,0.633663,0.6350133181818180,1.0,1,bug,TRUE,
2,"lines with a number , 3 or more times",Lines with 3 or more times,"( [ <NUM> ] ) { 3 , }","( . * ) { 3 , }",bug,数が3回以上の行,subset,0.6112033821531040,0.5860117672443140,0.9404177071831070,0.2,0.6,0.0006871976000000000,0.3003435988,0.0,0,correct,TRUE,
3,"lines not having a lower-case letter , not a vowel , and not a number","Lines that do not contain lowercase letters, vowels, or numbers",~ ( ( [ <LOW> ] ) & ( [ <VOW> ] ) & ( [ <NUM> ] ) ),\ b ~ ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + | ( [ <NUM> ] ) + ),correct,小文字、母音、数字を含まない行,superset,0.39478584729981400,0.4230798502084220,0.6315789099905580,1.0,0.6111111111111110,0.0,0.3055555555555560,1.0,1,bug,TRUE,
4,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","Lines placed with the string <M0> before a non-vowel string, more than once","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",correct,母音ではない文字列の前に文字列<M0>で配置された行、2回以上,equivalence,0.4504425334253970,0.573632391662654,0.6229280505092800,0.7333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,Need check
5,lines with the string <M0> then a character,"String <M0>, then the line containing the character",<M0> . * . . *,<M0> . * . . * . *,bug,文字列<M0>、次に文字を含む行,equivalence,0.2972943367291050,0.4982371696545870,0.9117056789259230,0.4666666666666670,0.75,1.0,0.875,0.0,0,correct,TRUE,
6,"rows with words that contain a capital letter , zero or more times","Lines containing uppercase words, 0 or more times",\ b ( . * [ <CAP> ] . * ) * \ b,\ b ( . * [ <CAP> ] . * ) * \ b,correct,大文字を含む単語を含む行、0回以上,subset,0.28813272388691400,0.30838844443353300,0.41535251305233900,0.8,1.0,1.0,1.0,0.0,0,correct,TRUE,
7,"lines using a word that has a character , zero or greater times",Lines that use words that contain more than zero characters,. * \ b ( . ) * \ b . *,. * \ b ( . ) * \ b . *,correct,ゼロ回以上の文字を含む単語を使用する行,superset,0.2936951316839590,0.38376596508272900,0.6475237236630010,0.8666666666666670,1.0,1.0,1.0,0.0,0,correct,TRUE,Quantifier
8,"lines arranged with words that have the string <M0> or either the string <M1> , the string <M2> , or the string <M3>","Lines arranged with words that have either the string <M0>, or the string <M1>, the string <M2>, or the string <M3>",\ b ( <M0> ) | ( ( <M1> ) | ( <M2> ) | ( <M3> ) ) \ b,\ b ( <M0> ) | ( ( <M1> ) | ( <M2> ) | ( <M3> ) ) \ b,correct,文字列<M0>、または文字列<M1>、文字列<M2>、または文字列<M3>のいずれかを持つ単語で配置された行,equivalence,0.8285494124446170,0.9296700376606310,0.9903768935787860,0.4666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
9,"lines ending with the string <M0> followed by a character , up to 3 times","Lines ending with the string <M0> followed by a character, up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",correct,文字列<M0>で終わり、その後に文字が続く行、最大3回,equivalence,0.9927297773015990,0.9673953584091670,1.0,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
